daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
5,844,False,6,water,June,778,75,Poor inventory control,2012
4,672,False,5,rail,January,1223,39,Poor inventory control,2005
2,1050,True,9,road,November,2635,109,Demand Variation,2012
5,1425,False,4,water,March,546,12,excessive machine stoppage,2005
0,78,True,4,water,December,1684,13,Poor Planning,2010
2,1301,True,11,road,July,1032,931,Financial problems of company leading to interrupted supplies,2001
2,404,True,5,airways,August,221,52,material wastage due to over-feeding,2008
4,1106,False,2,road,September,7459,99,Poor Lead time calculation,2015
2,4870,True,3,water,August,3729,87,Financial problems of company leading to interrupted supplies,2014
3,893,True,2,airways,June,1900,33,Strike of workers,2006
0,122,False,3,airways,June,368,81,Financial problems of company leading to interrupted supplies,2005
2,592,True,4,road,November,701,8,Poor Planning,2013
3,977,True,6,road,February,1630,98,Demand Variation,2007
4,2021,True,3,water,October,676,46,Strike of workers,2014
0,2539,False,4,road,August,1696,98,Financial problems of company leading to interrupted supplies,2018
5,478,True,9,water,June,874,76,Huge backlog of orders,2014
2,4392,False,1,road,February,981,42,Huge backlog of orders,2013
6,344,False,1,rail,May,625,103,Supply Shortages and logistical uncertainties,2001
2,642,True,1,rail,July,436,27,Poor Lead time calculation,2008
4,3887,False,1,road,September,913,12,Factory shutdown,2003
14,197,False,4,airways,April,1455,354,Factory shutdown,2014
9,355,True,8,airways,October,612,951,excessive machine stoppage,2008
24,1677,True,0,rail,June,857,70,Financial problems of company leading to interrupted supplies,2006
9,4602,True,3,road,December,1455,44,electricty stoppage,2005
7,1246,False,0,airways,July,6212,54,Poor Planning,2018
7,2022,True,6,rail,November,2375,19,material wastage due to over-feeding,2014
2,4801,True,3,airways,February,433,249,excessive machine stoppage,2018
4,1199,True,5,road,November,5615,19,excessive machine stoppage,2013
3,2667,False,0,rail,June,995,120,Poor Planning,2007
21,9592,False,4,water,May,3123,112,Transport Delays,2003
4,566,True,6,road,May,3426,17,material wastage due to over-feeding,2012
4,1675,False,6,rail,April,826,330,Poor Lead time calculation,2002
4,660,True,5,rail,February,1399,75,Raw material low,2009
3,924,True,44,airways,November,1278,14,Poor Lead time calculation,2018
2,1046,False,4,road,January,427,65,Financial problems of company leading to interrupted supplies,2001
6,640,False,4,airways,August,2029,52,electricty stoppage,2011
2,586,False,0,road,August,544,64,Demand Variation,2006
7,1297,True,9,water,May,646,12,Supply Shortages and logistical uncertainties,2001
9,629,True,46,water,June,4613,65,Poor Planning,2003
2,1129,False,3,road,November,1171,112,Huge backlog of orders,2018
3,264,True,2,rail,June,1218,224,Raw material low,2010
2,589,False,10,rail,May,1470,227,electricty stoppage,2016
6,2302,True,1,rail,April,1284,682,Strike of workers,2016
5,1204,True,3,rail,December,5341,123,Poor inventory control,2015
10,447,False,2,airways,December,479,248,Financial problems of company leading to interrupted supplies,2007
1,393,True,1,road,May,926,55,Poor Planning,2007
2,479,False,8,rail,November,2950,120,Strike of workers,2010
2,487,False,4,airways,November,4571,198,Poor Lead time calculation,2012
5,565,False,0,rail,July,8347,20,faulty plant layout,2011
8,233,False,7,rail,April,1455,62,excessive machine stoppage,2010
1,1297,False,0,water,May,295,34,excessive machine stoppage,2008
2,1030,False,5,rail,July,820,283,Huge backlog of orders,2017
4,2596,False,46,rail,March,2865,151,Financial problems of company leading to interrupted supplies,2003
4,339,False,6,airways,June,8515,441,Demand Variation,2017
2,2463,False,15,airways,December,7820,32,Supply Shortages and logistical uncertainties,2002
8,1663,True,4,rail,September,565,151,Strike of workers,2007
4,5194,True,3,rail,May,2038,39,Supply Shortages and logistical uncertainties,2012
6,2105,True,46,road,August,3620,129,Poor inventory control,2014
2,189,False,1,rail,October,433,92,Transport Delays,2003
4,1123,False,4,rail,August,306,137,Strike of workers,2006
12,1003,True,17,rail,February,400,19,faulty plant layout,2016
4,1217,True,0,water,November,398,187,Financial problems of company leading to interrupted supplies,2002
3,8031,True,3,water,March,217,130,Poor Planning,2003
5,595,True,4,airways,September,1392,92,Demand Variation,2001
4,890,False,9,road,June,908,93,faulty plant layout,2004
10,7410,False,3,road,December,1982,76,Poor Planning,2001
7,53,False,6,water,October,2182,77,Huge backlog of orders,2016
22,632,False,8,airways,April,1983,16,Huge backlog of orders,2006
2,1227,True,12,water,March,2073,146,Huge backlog of orders,2005
4,1136,True,7,rail,January,836,61,Supply Shortages and logistical uncertainties,2005
1,786,False,6,water,January,343,14,Poor Planning,2013
5,78,True,3,rail,December,1735,357,Poor inventory control,2010
3,2225,True,4,rail,March,159,22,Factory shutdown,2006
3,219,True,4,airways,September,448,7,material wastage due to over-feeding,2018
1,332,False,7,road,August,1231,100,faulty plant layout,2014
1,615,False,7,road,June,721,302,electricty stoppage,2008
8,903,True,0,airways,March,1223,99,Demand Variation,2012
2,2760,True,15,airways,August,317,405,Supply Shortages and logistical uncertainties,2017
3,932,False,0,airways,November,5341,245,electricty stoppage,2005
7,3391,False,4,water,October,152,262,Raw material low,2004
1,587,True,4,water,December,1135,108,Poor inventory control,2001
6,550,True,4,airways,April,340,67,Factory shutdown,2008
0,1526,True,0,rail,January,864,70,Strike of workers,2002
3,5510,False,12,airways,March,681,107,Raw material low,2007
1,1020,True,4,water,November,807,78,faulty plant layout,2008
5,1056,False,3,airways,October,1063,47,Raw material low,2009
5,2806,False,5,rail,December,202,102,material wastage due to over-feeding,2017
4,370,False,2,airways,November,183,36,Strike of workers,2017
10,2060,True,22,rail,August,3283,55,Raw material low,2003
6,1783,False,38,airways,October,452,86,Raw material low,2005
4,671,False,10,road,November,237,290,Poor Planning,2011
4,875,True,1,airways,January,224,274,excessive machine stoppage,2006
3,4324,False,5,water,November,293,109,Financial problems of company leading to interrupted supplies,2007
12,243,False,13,airways,March,812,41,excessive machine stoppage,2009
2,975,False,2,rail,December,993,117,Transport Delays,2006
7,659,False,0,rail,January,4983,19,Raw material low,2005
4,1534,True,48,road,July,5202,58,excessive machine stoppage,2002
1,1727,True,4,rail,October,9978,643,material wastage due to over-feeding,2016
9,990,False,3,rail,January,506,74,Demand Variation,2002
13,854,True,16,airways,March,1496,89,excessive machine stoppage,2016
2,2193,False,14,road,September,857,98,Strike of workers,2001
11,315,False,11,water,January,868,949,Huge backlog of orders,2008
0,1067,False,4,airways,October,730,152,faulty plant layout,2018
2,918,False,10,rail,April,756,36,Supply Shortages and logistical uncertainties,2009
6,1125,False,15,rail,October,1098,30,electricty stoppage,2003
17,6804,False,6,water,April,9498,121,Poor Lead time calculation,2012
4,1619,True,6,water,November,1470,43,Demand Variation,2006
35,1929,False,0,road,June,345,47,excessive machine stoppage,2005
44,2079,True,11,rail,June,771,97,Strike of workers,2009
3,715,False,1,airways,May,811,46,Huge backlog of orders,2003
40,2330,True,1,rail,July,1156,23,Supply Shortages and logistical uncertainties,2005
2,95,False,15,water,March,3054,255,faulty plant layout,2007
5,2669,True,0,airways,June,727,556,excessive machine stoppage,2017
1,4547,True,3,airways,June,461,61,Supply Shortages and logistical uncertainties,2012
5,672,True,4,airways,October,264,151,material wastage due to over-feeding,2010
5,615,True,0,airways,October,568,539,Supply Shortages and logistical uncertainties,2011
48,234,False,2,water,June,1620,951,electricty stoppage,2005
5,91,False,1,water,May,229,33,faulty plant layout,2013
5,664,True,4,airways,February,1684,107,excessive machine stoppage,2014
16,102,True,7,rail,March,234,16,Factory shutdown,2010
3,678,True,0,rail,September,958,356,Poor Lead time calculation,2018
1,792,True,5,water,February,798,30,Factory shutdown,2009
3,359,True,14,airways,October,2089,115,Huge backlog of orders,2018
9,548,True,3,water,November,1093,48,electricty stoppage,2001
1,2607,False,7,rail,July,675,30,Financial problems of company leading to interrupted supplies,2014
15,567,True,2,road,January,463,77,Strike of workers,2016
12,2464,False,2,airways,June,3298,38,Financial problems of company leading to interrupted supplies,2002
22,253,False,15,road,December,1271,20,Transport Delays,2014
3,818,False,1,airways,March,545,908,Transport Delays,2003
8,622,True,8,water,September,725,164,Strike of workers,2015
2,2736,True,2,rail,April,9078,47,electricty stoppage,2008
15,187,False,7,water,December,1662,185,Factory shutdown,2004
9,29,True,11,road,December,511,106,electricty stoppage,2004
2,725,True,9,airways,December,469,292,electricty stoppage,2009
18,792,True,7,airways,October,533,64,Raw material low,2016
0,2996,False,3,airways,September,3004,10,Strike of workers,2013
4,499,True,1,water,January,1906,74,Factory shutdown,2007
0,517,False,0,water,March,3166,55,Factory shutdown,2004
1,4514,True,3,road,February,552,125,Huge backlog of orders,2002
3,305,False,24,water,March,3176,40,Poor Lead time calculation,2008
2,1183,True,25,airways,February,1469,283,Raw material low,2018
4,655,True,6,rail,March,1923,160,Raw material low,2008
3,300,False,15,airways,May,302,33,material wastage due to over-feeding,2015
4,409,False,3,airways,February,1142,320,Demand Variation,2009
1,2409,False,10,airways,July,317,174,Factory shutdown,2010
9,9450,False,3,rail,September,1093,30,electricty stoppage,2003
2,51,False,23,road,June,1120,112,Huge backlog of orders,2012
1,8123,True,6,water,May,269,537,Poor inventory control,2018
8,241,False,12,water,February,565,219,Strike of workers,2008
50,876,True,10,water,September,9173,16,Strike of workers,2017
4,305,True,3,airways,May,722,115,excessive machine stoppage,2015
7,163,False,5,road,June,190,134,electricty stoppage,2017
6,1284,True,7,rail,January,1400,21,Raw material low,2006
21,5888,True,5,airways,October,872,3,Poor inventory control,2016
10,1709,False,4,airways,April,6418,17,Strike of workers,2002
3,420,True,5,water,January,2410,161,Raw material low,2017
5,452,False,1,water,January,1292,318,material wastage due to over-feeding,2007
42,243,False,36,rail,September,2817,129,Poor inventory control,2016
18,460,False,2,airways,August,656,406,electricty stoppage,2009
12,370,False,1,airways,October,8347,3,Poor Lead time calculation,2008
1,1392,False,5,airways,December,1852,240,Strike of workers,2008
8,875,True,2,road,July,2992,155,Raw material low,2016
5,520,True,1,airways,July,717,9,Demand Variation,2011
4,795,False,0,airways,May,508,92,Demand Variation,2018
5,9846,False,1,road,August,596,86,electricty stoppage,2008
50,9935,True,7,road,October,763,31,Factory shutdown,2016
11,200,True,2,rail,September,358,2,Poor inventory control,2014
10,329,False,5,road,May,354,22,Poor Planning,2013
2,2462,True,2,airways,January,2407,40,faulty plant layout,2018
3,128,False,3,water,December,1827,314,Raw material low,2012
9,1804,False,3,airways,November,1348,179,Huge backlog of orders,2001
14,15,False,3,rail,August,8838,322,Financial problems of company leading to interrupted supplies,2007
1,875,False,1,road,August,1243,104,Demand Variation,2009
2,1387,False,7,airways,December,3099,98,Raw material low,2005
4,462,True,8,water,November,567,126,Demand Variation,2008
1,874,False,12,airways,June,3015,35,Supply Shortages and logistical uncertainties,2003
1,1877,False,1,rail,November,703,98,Supply Shortages and logistical uncertainties,2017
0,152,True,3,airways,September,311,17,excessive machine stoppage,2009
5,773,True,1,road,May,1199,94,excessive machine stoppage,2003
1,99,False,1,airways,August,581,20,Demand Variation,2014
1,839,True,1,airways,February,3206,241,excessive machine stoppage,2012
18,1034,True,5,rail,October,7968,220,Raw material low,2005
5,1139,False,3,water,February,501,108,Poor inventory control,2002
13,2578,False,2,rail,November,1255,60,material wastage due to over-feeding,2015
2,1048,True,1,road,April,637,17,Raw material low,2016
14,1622,False,13,road,December,551,43,material wastage due to over-feeding,2013
0,101,True,4,rail,August,540,16,Demand Variation,2018
18,79,False,1,rail,June,350,143,Poor Lead time calculation,2006
0,1327,False,2,road,January,874,102,electricty stoppage,2013
3,4843,True,3,road,March,1732,81,electricty stoppage,2011
1,762,False,4,water,April,7104,59,Raw material low,2011
6,274,True,5,road,August,1377,39,Factory shutdown,2016
5,3366,False,2,water,February,910,110,Transport Delays,2001
3,375,False,4,road,August,636,115,excessive machine stoppage,2001
0,774,True,1,rail,September,1253,47,Factory shutdown,2016
4,1100,False,7,road,May,1196,61,Huge backlog of orders,2015
4,1251,True,3,road,January,848,91,Financial problems of company leading to interrupted supplies,2013
5,1462,True,6,rail,February,904,46,Factory shutdown,2003
11,3765,False,18,rail,October,1183,689,Demand Variation,2002
6,791,False,8,rail,February,3874,121,Supply Shortages and logistical uncertainties,2013
0,4890,True,6,airways,March,1582,28,Huge backlog of orders,2013
50,990,False,7,rail,February,1915,95,Transport Delays,2016
2,847,True,2,water,October,1233,37,material wastage due to over-feeding,2007
17,615,True,2,water,February,393,125,Huge backlog of orders,2001
9,1324,False,3,rail,November,1151,98,Financial problems of company leading to interrupted supplies,2004
17,8150,False,0,water,January,2791,906,Poor inventory control,2005
7,297,False,4,road,July,2625,85,electricty stoppage,2002
0,438,True,1,airways,March,5863,13,Poor Lead time calculation,2016
11,301,True,23,road,November,2028,156,Financial problems of company leading to interrupted supplies,2010
8,713,True,14,water,June,396,98,faulty plant layout,2012
21,2438,False,1,water,May,2404,163,Poor Lead time calculation,2012
21,513,False,3,road,April,8310,31,Factory shutdown,2013
4,987,True,3,road,June,604,204,electricty stoppage,2010
8,457,False,7,rail,November,141,37,Demand Variation,2006
2,1093,True,2,road,June,1377,75,Transport Delays,2018
21,233,False,6,rail,November,1369,78,Supply Shortages and logistical uncertainties,2002
1,5593,False,13,airways,May,330,51,Huge backlog of orders,2010
8,654,True,6,airways,September,787,119,Raw material low,2018
2,1063,True,0,rail,September,512,430,Poor Planning,2004
11,752,True,0,road,June,1328,139,material wastage due to over-feeding,2016
3,2668,True,2,water,May,909,96,material wastage due to over-feeding,2003
5,641,False,4,road,October,187,124,Huge backlog of orders,2006
3,315,True,3,rail,June,3810,99,Factory shutdown,2001
1,146,True,9,rail,June,332,74,Poor Planning,2016
4,465,True,0,rail,May,245,17,Poor Planning,2008
5,96,True,11,airways,September,632,33,Factory shutdown,2011
2,234,False,0,road,February,981,358,Demand Variation,2014
2,133,True,12,rail,May,2407,327,Strike of workers,2018
9,8857,False,2,road,January,1362,179,Poor Planning,2005
6,9272,True,1,rail,October,516,334,faulty plant layout,2017
10,944,False,1,airways,October,775,33,Financial problems of company leading to interrupted supplies,2009
32,297,True,4,water,November,1192,15,Poor Lead time calculation,2014
8,106,False,12,airways,June,512,635,Financial problems of company leading to interrupted supplies,2013
6,489,False,5,rail,April,271,76,Transport Delays,2013
5,958,True,2,road,October,2886,72,Strike of workers,2007
0,2149,True,6,airways,June,901,91,Strike of workers,2004
13,733,False,2,road,May,488,105,electricty stoppage,2012
6,822,False,4,road,December,2123,553,Supply Shortages and logistical uncertainties,2012
2,356,True,1,water,September,887,88,Poor Planning,2009
12,242,False,3,rail,November,2654,59,Strike of workers,2010
21,2078,False,3,water,November,879,234,material wastage due to over-feeding,2017
5,390,False,0,rail,January,2437,92,Transport Delays,2010
23,8699,False,3,airways,April,689,93,Financial problems of company leading to interrupted supplies,2008
4,5594,True,8,road,June,231,203,Poor Lead time calculation,2008
3,1031,False,3,rail,November,1548,152,Factory shutdown,2018
5,9242,True,11,road,September,299,18,Poor inventory control,2017
2,773,False,6,road,November,839,194,Financial problems of company leading to interrupted supplies,2001
14,974,False,2,road,March,424,414,excessive machine stoppage,2001
2,1933,False,5,airways,May,651,82,Poor inventory control,2014
4,253,False,12,water,November,795,192,Financial problems of company leading to interrupted supplies,2006
0,448,True,5,water,December,545,58,Transport Delays,2003
7,5579,True,4,airways,December,807,54,faulty plant layout,2006
5,2904,False,9,road,February,1368,441,faulty plant layout,2017
3,1000,False,3,rail,May,745,151,Demand Variation,2016
37,184,False,7,airways,January,914,492,excessive machine stoppage,2004
1,820,True,9,rail,April,1772,34,Poor Planning,2008
1,491,False,24,road,September,779,67,Strike of workers,2018
6,1060,False,7,water,May,900,82,Raw material low,2010
0,5063,False,2,rail,May,749,49,Factory shutdown,2002
3,187,False,1,rail,January,845,223,Raw material low,2007
9,1307,False,4,airways,September,499,211,Supply Shortages and logistical uncertainties,2007
5,1728,True,18,rail,June,2675,315,Strike of workers,2007
3,8643,False,5,road,April,1357,73,Financial problems of company leading to interrupted supplies,2009
3,427,True,4,rail,July,2558,323,Raw material low,2009
14,1061,True,16,water,December,1671,90,Poor Lead time calculation,2005
7,658,True,4,water,August,923,153,excessive machine stoppage,2008
0,973,True,3,rail,October,147,65,Poor inventory control,2010
13,1230,True,1,rail,October,7436,122,Huge backlog of orders,2018
3,1064,True,25,road,January,178,225,Poor Planning,2010
5,4955,False,3,airways,December,813,167,Demand Variation,2008
4,855,True,4,road,March,2488,103,Transport Delays,2007
4,543,True,2,airways,July,819,17,Raw material low,2003
2,716,True,8,water,August,640,233,Poor Planning,2001
2,567,True,6,water,November,626,667,excessive machine stoppage,2007
1,123,False,26,rail,March,419,161,faulty plant layout,2007
5,409,False,8,road,June,848,316,Financial problems of company leading to interrupted supplies,2011
1,2626,False,1,road,July,1628,211,Transport Delays,2015
2,1441,False,4,rail,May,2632,62,excessive machine stoppage,2006
10,932,True,6,airways,August,433,91,Factory shutdown,2011
42,17,False,10,water,November,219,144,Demand Variation,2003
4,815,False,1,rail,October,2422,174,Transport Delays,2013
8,648,False,4,rail,August,693,318,Raw material low,2006
4,2613,False,3,water,March,1443,92,Factory shutdown,2003
14,1091,True,1,road,September,3596,41,faulty plant layout,2012
0,1022,False,5,road,May,1006,58,Demand Variation,2014
13,117,False,3,water,November,6418,137,Demand Variation,2006
6,976,True,1,airways,December,199,117,Poor Lead time calculation,2016
8,991,False,6,road,September,417,937,Huge backlog of orders,2007
2,735,True,5,road,March,881,56,material wastage due to over-feeding,2005
1,34,True,4,rail,March,654,49,material wastage due to over-feeding,2009
4,1320,False,42,rail,November,2377,802,electricty stoppage,2002
7,1429,False,2,water,March,618,69,excessive machine stoppage,2004
13,6880,True,2,water,March,265,10,faulty plant layout,2011
3,414,False,9,airways,December,2296,34,material wastage due to over-feeding,2013
30,8330,True,1,airways,October,1127,143,Poor Planning,2018
5,774,True,0,road,August,3248,83,Huge backlog of orders,2007
0,628,True,2,rail,August,673,130,Huge backlog of orders,2001
5,978,True,2,airways,June,143,151,Financial problems of company leading to interrupted supplies,2017
25,3186,True,2,airways,October,283,32,Demand Variation,2006
2,304,True,4,rail,September,4687,158,Raw material low,2008
4,2832,False,22,water,August,3776,97,Poor Lead time calculation,2004
5,162,False,10,airways,September,1065,99,material wastage due to over-feeding,2018
0,1789,True,3,water,December,393,120,excessive machine stoppage,2013
2,441,False,1,water,September,2784,1,Poor Planning,2014
5,2701,False,2,water,March,3618,67,material wastage due to over-feeding,2002
3,1022,False,49,water,August,1545,337,faulty plant layout,2006
0,1483,False,1,rail,August,446,577,Strike of workers,2012
9,715,False,9,water,June,7519,481,Supply Shortages and logistical uncertainties,2015
2,196,True,6,water,November,4072,48,Raw material low,2011
0,1614,True,2,water,December,689,8,Poor Lead time calculation,2009
0,949,True,12,rail,May,1845,461,excessive machine stoppage,2010
4,4076,False,3,water,April,1094,500,Poor Lead time calculation,2004
3,1003,False,6,road,January,1237,55,excessive machine stoppage,2017
12,234,False,20,rail,February,1776,13,Financial problems of company leading to interrupted supplies,2017
4,169,True,8,road,October,491,161,Transport Delays,2004
3,406,False,7,airways,April,3075,52,Huge backlog of orders,2014
34,749,False,2,rail,March,937,322,Poor Lead time calculation,2008
27,175,True,4,road,April,8515,137,Strike of workers,2007
1,972,True,6,rail,December,1343,4,electricty stoppage,2002
4,716,False,0,rail,June,803,424,Raw material low,2005
50,3628,False,6,airways,July,159,141,Financial problems of company leading to interrupted supplies,2014
4,425,True,13,road,December,4189,241,Supply Shortages and logistical uncertainties,2012
4,876,False,2,water,March,289,77,material wastage due to over-feeding,2017
11,1805,True,3,road,November,291,485,Raw material low,2015
1,1372,True,5,road,April,969,51,Huge backlog of orders,2016
12,1332,True,20,rail,December,1047,143,Supply Shortages and logistical uncertainties,2011
7,1486,False,1,water,June,673,149,Financial problems of company leading to interrupted supplies,2002
4,333,True,0,rail,April,2027,97,Poor inventory control,2009
5,6556,True,4,road,April,2814,332,Transport Delays,2008
5,214,True,23,road,March,1208,13,Poor Lead time calculation,2009
0,705,True,5,airways,January,204,20,Strike of workers,2018
6,9685,False,6,water,July,2185,51,Poor Planning,2009
4,173,False,8,water,August,1980,212,Raw material low,2009
4,786,False,3,rail,October,899,47,Factory shutdown,2003
1,1266,False,5,water,January,1009,151,Poor Lead time calculation,2018
8,3093,True,6,water,August,537,34,faulty plant layout,2014
35,1775,False,1,rail,November,645,10,Poor Planning,2017
0,148,True,12,airways,December,1182,227,Raw material low,2007
8,38,False,12,rail,June,3553,78,electricty stoppage,2006
7,7083,True,0,road,January,137,50,Poor Lead time calculation,2013
6,2410,False,48,rail,August,173,51,Supply Shortages and logistical uncertainties,2006
2,3093,True,5,rail,September,422,164,Factory shutdown,2010
9,8212,True,1,rail,November,514,299,Supply Shortages and logistical uncertainties,2013
0,99,True,4,rail,April,646,39,Poor Planning,2012
5,990,True,1,rail,July,3012,99,Strike of workers,2014
6,664,True,4,road,December,361,109,material wastage due to over-feeding,2009
5,4942,False,2,airways,October,442,88,material wastage due to over-feeding,2001
22,420,False,0,airways,February,1417,289,faulty plant layout,2015
3,1952,False,1,water,February,861,23,Huge backlog of orders,2016
15,3953,True,2,road,January,1352,269,Raw material low,2012
9,521,True,5,water,August,440,62,Poor Planning,2001
23,359,True,6,rail,June,2398,89,Supply Shortages and logistical uncertainties,2017
9,2545,False,8,airways,December,170,906,Poor Planning,2013
1,1009,True,10,road,October,896,43,excessive machine stoppage,2017
3,1705,True,22,water,October,266,113,Supply Shortages and logistical uncertainties,2013
2,1406,False,12,rail,October,981,426,Poor Planning,2013
6,2086,True,14,water,December,1610,25,Factory shutdown,2015
2,379,True,3,rail,February,942,3,Raw material low,2018
2,545,True,0,water,May,1182,477,material wastage due to over-feeding,2002
3,1089,False,15,rail,February,2834,14,Raw material low,2004
1,605,False,8,water,May,1107,50,Financial problems of company leading to interrupted supplies,2008
19,1115,True,6,rail,August,192,210,Poor Planning,2005
0,345,True,1,rail,April,701,135,material wastage due to over-feeding,2011
12,3699,True,2,rail,November,1548,109,Poor inventory control,2011
2,250,False,4,road,February,875,30,material wastage due to over-feeding,2009
16,1109,True,1,road,October,3268,93,Poor inventory control,2010
1,1557,True,1,road,June,150,135,Poor Planning,2018
6,563,True,11,water,April,1352,221,material wastage due to over-feeding,2007
45,5508,True,4,road,January,1290,430,Transport Delays,2013
4,8611,True,11,road,June,3553,171,Raw material low,2013
9,542,True,2,rail,September,1067,95,Poor Planning,2010
7,723,False,6,road,September,2689,105,Supply Shortages and logistical uncertainties,2005
7,853,False,6,airways,February,8117,5,Factory shutdown,2012
5,246,False,14,road,January,1066,140,Poor Planning,2015
30,5961,False,3,airways,March,4186,856,Financial problems of company leading to interrupted supplies,2005
4,761,False,8,water,October,1163,58,Demand Variation,2012
49,852,True,8,rail,March,379,49,Poor Lead time calculation,2018
6,4958,True,5,water,April,4716,74,material wastage due to over-feeding,2018
4,512,False,5,airways,January,912,117,Poor Lead time calculation,2005
17,8970,True,6,rail,May,894,17,faulty plant layout,2018
44,131,False,7,water,September,746,59,Strike of workers,2004
3,388,True,11,rail,January,3255,137,Poor inventory control,2001
6,3815,True,24,airways,September,504,75,Demand Variation,2015
5,350,False,8,road,August,1647,40,Raw material low,2008
7,731,True,3,water,June,1940,196,Demand Variation,2005
12,262,False,10,airways,August,859,78,Raw material low,2003
6,488,False,7,airways,September,1249,151,Demand Variation,2014
5,336,True,8,water,October,538,110,Transport Delays,2014
8,1125,False,2,rail,July,1845,52,Poor Lead time calculation,2015
0,1173,True,5,airways,January,645,294,Huge backlog of orders,2010
3,3264,False,6,airways,June,2925,163,excessive machine stoppage,2008
3,636,False,0,water,March,327,109,excessive machine stoppage,2015
1,1728,True,0,water,April,4516,175,Demand Variation,2013
6,3186,True,2,rail,February,6649,103,Factory shutdown,2002
33,7258,True,0,airways,April,591,665,faulty plant layout,2014
4,401,False,1,water,August,2410,44,Demand Variation,2012
1,273,False,6,airways,July,841,31,Poor inventory control,2002
1,237,False,5,airways,October,1014,9,electricty stoppage,2001
6,1049,True,14,rail,February,1027,96,faulty plant layout,2005
8,1754,False,2,rail,February,1346,260,Poor Lead time calculation,2004
12,1544,True,5,road,December,1945,120,Financial problems of company leading to interrupted supplies,2002
1,419,True,2,water,June,872,63,Strike of workers,2008
1,1321,True,15,road,June,292,41,Demand Variation,2014
14,274,False,1,road,July,358,318,Huge backlog of orders,2010
22,10000,True,18,airways,April,541,46,Poor Planning,2015
0,420,False,2,rail,January,642,33,Financial problems of company leading to interrupted supplies,2017
7,4271,False,4,airways,February,570,120,Financial problems of company leading to interrupted supplies,2010
5,9209,False,5,rail,March,996,17,Financial problems of company leading to interrupted supplies,2013
20,2099,False,22,rail,August,884,28,Transport Delays,2001
2,3480,True,21,airways,August,893,2,Poor inventory control,2007
10,1270,True,2,road,February,855,27,material wastage due to over-feeding,2005
10,2608,True,27,water,November,574,162,material wastage due to over-feeding,2014
3,1579,True,2,airways,January,810,424,Strike of workers,2010
24,2474,False,2,road,July,1355,30,Poor Planning,2014
2,434,True,1,road,March,586,898,Financial problems of company leading to interrupted supplies,2009
2,2432,True,7,airways,May,2668,33,electricty stoppage,2018
1,460,True,1,water,January,5469,140,Factory shutdown,2017
5,1447,False,4,airways,January,1243,195,Raw material low,2011
7,901,True,1,rail,June,1966,108,Financial problems of company leading to interrupted supplies,2012
4,1112,True,18,airways,May,1047,5,Financial problems of company leading to interrupted supplies,2008
3,451,True,1,airways,May,748,178,excessive machine stoppage,2010
7,8611,True,6,airways,November,612,43,electricty stoppage,2018
5,2342,False,3,airways,August,4453,20,Demand Variation,2003
14,835,True,0,water,February,2744,35,Poor Planning,2011
1,960,True,0,rail,October,2098,83,Strike of workers,2017
5,1276,False,10,road,June,495,236,Factory shutdown,2008
14,268,False,2,airways,November,1304,740,Demand Variation,2015
3,63,False,45,airways,November,2520,119,Poor inventory control,2004
