daystilldelivery,inventorytofactorydistance,isholiday,manufacturingtime,modeofdelivery,month,profittocompany,quantity,rootcause,year
10,613,False,4,rail,October,2034,216,Poor Lead time calculation,2005
8,1085,False,0,rail,July,299,90,Huge backlog of orders,2013
5,5856,True,4,rail,April,797,902,Huge backlog of orders,2018
5,1181,True,9,airways,June,2540,97,Poor inventory control,2010
24,1024,True,4,airways,January,7135,80,Factory shutdown,2014
0,5552,False,3,rail,March,1453,150,excessive machine stoppage,2010
1,697,True,1,rail,June,424,54,electricty stoppage,2014
5,120,False,8,airways,April,779,425,faulty plant layout,2008
0,536,True,2,rail,September,765,30,Raw material low,2006
5,8569,True,12,airways,February,489,16,Huge backlog of orders,2013
1,3159,True,5,airways,August,511,340,Poor Lead time calculation,2008
2,2593,False,39,road,August,1982,21,electricty stoppage,2015
4,136,True,3,rail,April,552,273,Supply Shortages and logistical uncertainties,2008
1,8491,True,9,water,February,1595,47,electricty stoppage,2015
2,408,True,1,rail,April,1511,203,Demand Variation,2002
8,1617,True,4,rail,April,7951,230,material wastage due to over-feeding,2002
16,4318,True,4,airways,May,451,88,Poor Lead time calculation,2012
17,3450,True,15,rail,August,659,16,Raw material low,2012
4,722,False,15,water,December,2398,23,Factory shutdown,2013
1,1003,False,5,water,June,1534,49,Supply Shortages and logistical uncertainties,2012
1,9566,False,21,road,November,792,87,faulty plant layout,2009
2,391,False,1,road,January,783,146,faulty plant layout,2015
2,268,False,10,airways,August,533,52,Demand Variation,2003
1,599,False,27,water,December,1601,100,Supply Shortages and logistical uncertainties,2012
4,404,False,6,airways,July,4881,462,Transport Delays,2016
13,974,True,4,airways,December,1771,320,Huge backlog of orders,2003
1,1087,False,2,water,November,1225,44,Poor inventory control,2003
8,2602,False,1,road,January,432,383,Strike of workers,2001
12,214,False,2,water,April,1272,539,Demand Variation,2009
1,718,False,2,water,January,1257,14,Factory shutdown,2008
2,866,True,7,road,July,1519,89,Factory shutdown,2011
3,1185,False,1,airways,June,695,98,Strike of workers,2014
3,925,False,1,road,August,337,69,Poor Planning,2010
4,1063,False,8,airways,September,825,341,Raw material low,2009
2,687,False,1,water,November,1214,154,Poor Lead time calculation,2005
9,1097,False,2,rail,February,173,46,electricty stoppage,2009
4,1804,False,11,road,September,1771,87,Huge backlog of orders,2004
4,1039,False,1,rail,September,736,173,Supply Shortages and logistical uncertainties,2010
9,3784,True,1,road,April,2941,24,Transport Delays,2015
3,3514,False,1,road,August,953,49,Strike of workers,2013
2,723,True,3,water,July,991,159,Supply Shortages and logistical uncertainties,2001
3,101,False,2,water,May,1020,486,Demand Variation,2002
4,1830,False,5,water,September,519,4,Raw material low,2004
50,7423,True,0,road,December,774,460,Poor Planning,2009
2,760,True,3,airways,January,809,18,Supply Shortages and logistical uncertainties,2011
5,2822,False,3,water,October,1903,65,Supply Shortages and logistical uncertainties,2011
1,273,False,0,rail,May,363,318,Supply Shortages and logistical uncertainties,2011
7,4225,True,5,rail,April,993,60,Strike of workers,2011
47,431,False,12,rail,July,382,99,Poor inventory control,2009
8,42,False,3,road,August,268,120,electricty stoppage,2001
9,35,True,11,water,July,6415,24,Strike of workers,2006
12,378,False,5,road,February,753,55,Raw material low,2002
0,1204,True,30,water,May,292,219,electricty stoppage,2017
12,1576,True,7,airways,April,838,86,Huge backlog of orders,2008
3,767,True,0,rail,November,4449,450,Financial problems of company leading to interrupted supplies,2006
3,690,False,12,road,August,1380,284,Transport Delays,2018
5,229,False,12,road,May,2690,63,Financial problems of company leading to interrupted supplies,2009
5,724,False,3,road,March,531,44,Financial problems of company leading to interrupted supplies,2011
2,228,False,7,water,September,1450,199,faulty plant layout,2004
1,1730,False,11,rail,November,483,21,Supply Shortages and logistical uncertainties,2006
3,896,True,6,rail,July,7922,7,Raw material low,2001
14,2241,False,7,water,April,766,33,Transport Delays,2013
2,1072,True,2,airways,May,4729,53,material wastage due to over-feeding,2010
1,2667,True,3,rail,August,604,195,Poor Lead time calculation,2003
7,24,False,6,water,October,1927,69,material wastage due to over-feeding,2010
22,990,False,2,rail,December,385,101,faulty plant layout,2016
1,585,True,1,airways,September,797,28,Poor inventory control,2007
0,708,True,10,water,May,390,64,Raw material low,2007
2,3116,True,0,airways,October,3685,67,Poor Planning,2009
14,7356,True,5,airways,December,796,180,excessive machine stoppage,2006
16,1082,True,4,airways,April,914,32,Factory shutdown,2007
3,359,False,16,road,December,974,127,excessive machine stoppage,2011
3,1013,True,4,airways,May,1144,37,electricty stoppage,2014
8,4409,False,11,rail,April,1327,195,faulty plant layout,2007
1,133,True,37,rail,January,498,15,Transport Delays,2011
15,3406,True,6,airways,February,565,233,Transport Delays,2003
0,7764,True,8,road,July,989,61,Huge backlog of orders,2012
3,297,True,18,road,April,577,57,Raw material low,2012
6,182,False,3,rail,September,322,103,Financial problems of company leading to interrupted supplies,2004
9,2367,False,2,water,January,910,29,Poor Lead time calculation,2010
2,1354,True,0,airways,June,1389,295,Demand Variation,2013
3,5924,True,44,airways,September,651,8,excessive machine stoppage,2014
3,2002,True,1,airways,July,519,796,Demand Variation,2011
3,56,False,9,airways,April,468,26,Supply Shortages and logistical uncertainties,2016
3,303,False,6,road,July,1378,126,Poor inventory control,2018
19,457,False,3,water,May,511,124,Financial problems of company leading to interrupted supplies,2006
6,722,False,0,airways,June,485,85,faulty plant layout,2003
2,199,False,18,airways,July,853,126,Poor Planning,2010
9,206,False,1,road,August,818,85,Demand Variation,2006
8,2347,False,7,water,December,1000,79,Demand Variation,2016
6,101,True,1,rail,April,1819,14,Poor Lead time calculation,2012
27,1457,True,1,airways,November,1628,2,Raw material low,2015
1,750,True,1,water,February,5794,177,Financial problems of company leading to interrupted supplies,2006
4,82,False,3,rail,April,594,462,Transport Delays,2009
0,459,False,4,airways,January,2131,70,Poor Lead time calculation,2013
7,1586,False,9,water,January,346,57,electricty stoppage,2001
24,363,False,12,water,October,233,39,electricty stoppage,2012
2,171,False,5,airways,December,3320,59,Strike of workers,2018
1,751,False,4,road,February,2960,217,Poor Lead time calculation,2002
2,873,False,4,airways,August,493,354,Raw material low,2005
4,53,False,13,airways,August,1669,196,Poor Lead time calculation,2001
5,1066,True,4,road,August,144,82,material wastage due to over-feeding,2009
3,614,False,8,airways,February,429,240,Poor Planning,2009
0,1037,False,1,rail,February,526,5,faulty plant layout,2004
38,837,False,5,water,February,3826,311,Poor Lead time calculation,2005
43,425,False,0,road,November,1111,650,Transport Delays,2002
0,4827,True,5,water,October,725,131,material wastage due to over-feeding,2017
2,1405,False,3,airways,July,839,64,Huge backlog of orders,2011
18,931,False,7,rail,February,1692,85,electricty stoppage,2009
5,1254,False,5,water,June,579,69,Poor inventory control,2018
2,4651,True,1,road,August,653,327,material wastage due to over-feeding,2002
4,133,True,9,airways,September,5398,138,Poor inventory control,2008
11,1501,False,9,rail,February,1257,125,Demand Variation,2013
6,295,True,5,road,January,241,77,Supply Shortages and logistical uncertainties,2012
3,2312,True,8,road,August,386,98,excessive machine stoppage,2002
10,621,False,3,rail,December,1173,157,Supply Shortages and logistical uncertainties,2018
1,4106,True,2,rail,March,973,417,Strike of workers,2005
32,1133,True,4,road,August,503,701,electricty stoppage,2009
1,585,True,23,airways,December,1086,106,Supply Shortages and logistical uncertainties,2006
9,747,True,5,water,July,576,66,Poor inventory control,2010
0,1221,False,0,road,February,895,56,Demand Variation,2005
4,657,True,0,airways,January,1145,4,Transport Delays,2017
3,2066,False,6,rail,June,1995,93,Poor inventory control,2013
3,24,True,3,water,February,8066,32,Demand Variation,2003
2,960,False,2,airways,May,1298,274,Poor inventory control,2006
0,582,True,2,road,May,919,96,Raw material low,2014
11,805,True,0,rail,July,1262,196,Financial problems of company leading to interrupted supplies,2012
4,1019,False,1,rail,June,264,298,Poor inventory control,2013
1,531,False,1,water,April,6342,88,Supply Shortages and logistical uncertainties,2003
8,2748,False,4,road,June,216,142,Raw material low,2016
4,512,False,3,road,May,1836,37,Supply Shortages and logistical uncertainties,2012
5,494,False,3,rail,July,5485,65,Supply Shortages and logistical uncertainties,2017
6,520,False,1,road,September,1069,85,Raw material low,2008
2,7653,False,27,airways,September,648,38,material wastage due to over-feeding,2011
6,1828,True,9,rail,January,672,59,Supply Shortages and logistical uncertainties,2016
3,708,True,3,airways,September,856,59,Transport Delays,2011
5,39,False,0,rail,August,663,61,Huge backlog of orders,2004
1,1548,True,36,water,May,3459,11,Transport Delays,2016
4,1845,True,7,rail,December,4386,188,Transport Delays,2010
3,3997,False,6,water,November,880,169,Raw material low,2008
9,161,False,0,rail,June,590,232,Transport Delays,2009
16,2837,True,10,airways,August,556,23,Poor Planning,2005
26,1689,True,1,airways,July,876,41,Transport Delays,2018
6,3541,True,49,road,November,2665,72,faulty plant layout,2003
5,250,True,5,rail,October,2036,182,faulty plant layout,2012
3,1986,False,5,water,March,581,611,Factory shutdown,2008
12,8504,True,1,road,June,726,623,electricty stoppage,2005
2,2198,False,4,water,September,788,241,Huge backlog of orders,2006
16,1551,True,6,water,January,1634,341,Poor inventory control,2008
15,9539,True,2,road,September,1015,50,excessive machine stoppage,2006
0,7422,True,7,road,August,237,56,electricty stoppage,2009
33,515,False,1,road,August,434,30,Raw material low,2013
34,2446,True,5,airways,May,6999,91,Supply Shortages and logistical uncertainties,2005
7,836,False,21,rail,May,948,112,Strike of workers,2016
0,551,True,3,road,December,1390,36,Factory shutdown,2002
3,167,True,5,road,May,1693,93,Factory shutdown,2016
3,1119,False,24,water,December,2264,114,excessive machine stoppage,2009
3,359,True,6,road,June,945,175,Supply Shortages and logistical uncertainties,2012
5,564,True,8,road,January,892,137,Huge backlog of orders,2018
1,374,False,1,rail,June,2565,197,Raw material low,2008
15,833,False,1,road,September,225,449,Supply Shortages and logistical uncertainties,2015
5,1054,False,16,rail,June,934,7,electricty stoppage,2011
3,87,False,1,rail,August,214,139,Demand Variation,2018
8,2441,True,6,road,June,505,126,excessive machine stoppage,2014
3,2088,True,1,rail,August,274,56,electricty stoppage,2018
7,3063,False,1,water,June,3083,165,material wastage due to over-feeding,2011
0,86,True,1,rail,June,594,51,Poor Lead time calculation,2016
4,1918,False,14,road,January,2774,174,Supply Shortages and logistical uncertainties,2004
4,783,True,2,water,April,2755,95,electricty stoppage,2005
6,128,False,4,airways,February,498,230,faulty plant layout,2015
2,698,False,14,road,September,907,20,Poor Planning,2001
0,501,True,3,airways,May,5854,12,faulty plant layout,2006
4,2133,True,9,airways,September,8861,244,Demand Variation,2005
6,1372,False,7,road,November,3236,369,Demand Variation,2016
1,206,True,2,rail,October,3299,230,Poor Lead time calculation,2016
6,1969,False,7,airways,November,614,193,Demand Variation,2008
2,157,False,4,rail,June,951,167,electricty stoppage,2017
4,1211,False,1,airways,January,489,312,Huge backlog of orders,2006
2,1251,True,3,road,August,369,59,material wastage due to over-feeding,2011
2,1993,True,3,airways,April,824,77,faulty plant layout,2010
4,1119,False,2,water,January,901,143,excessive machine stoppage,2002
9,891,False,5,airways,July,1176,9,electricty stoppage,2014
9,465,True,3,airways,January,347,44,material wastage due to over-feeding,2005
2,1151,False,2,water,June,1857,129,Poor Lead time calculation,2010
9,9468,False,10,road,October,762,120,Poor Planning,2014
12,3339,False,0,airways,August,8937,98,Poor Lead time calculation,2005
12,906,False,6,water,June,1206,85,Huge backlog of orders,2017
12,121,True,4,water,February,261,52,Huge backlog of orders,2012
44,1202,False,3,water,February,4283,58,Supply Shortages and logistical uncertainties,2014
2,158,False,4,road,September,1511,71,Financial problems of company leading to interrupted supplies,2013
1,101,True,3,water,December,1168,209,Transport Delays,2011
2,1479,False,5,airways,September,339,13,Supply Shortages and logistical uncertainties,2011
28,1760,True,9,water,January,743,228,Raw material low,2015
1,389,False,49,rail,December,843,616,Factory shutdown,2009
0,469,False,6,water,December,1089,96,Poor Lead time calculation,2017
5,1253,False,12,road,June,1179,116,Supply Shortages and logistical uncertainties,2013
1,184,False,2,water,May,992,2,faulty plant layout,2015
7,432,False,7,airways,August,498,88,excessive machine stoppage,2008
4,248,True,3,road,February,8849,46,Demand Variation,2013
0,908,False,20,rail,October,709,88,faulty plant layout,2011
4,297,True,1,water,March,849,49,Transport Delays,2016
2,1244,False,1,water,November,2344,152,Factory shutdown,2015
5,480,True,3,road,June,3255,87,Factory shutdown,2003
15,72,True,4,rail,July,1524,117,Demand Variation,2010
5,911,True,10,rail,November,3613,245,Strike of workers,2002
6,962,True,4,road,January,1857,743,Raw material low,2003
24,630,True,1,rail,March,832,40,electricty stoppage,2001
4,1528,False,21,water,September,5013,553,Demand Variation,2010
1,583,False,2,water,August,7187,88,material wastage due to over-feeding,2006
1,3118,True,2,airways,August,958,28,Strike of workers,2001
1,895,True,0,water,September,1150,115,Financial problems of company leading to interrupted supplies,2012
3,2457,False,7,airways,June,338,60,Demand Variation,2013
12,1640,False,3,airways,October,194,442,electricty stoppage,2017
2,854,False,3,rail,December,321,188,Transport Delays,2003
1,928,True,12,road,August,1822,104,Poor inventory control,2003
5,2253,True,6,airways,October,4120,203,Strike of workers,2009
0,1064,False,3,water,July,4019,20,Strike of workers,2001
6,346,True,2,road,September,4592,131,Poor Lead time calculation,2018
3,2837,False,1,rail,January,1867,11,Raw material low,2017
6,41,False,1,rail,October,1356,145,Transport Delays,2018
1,419,True,1,water,July,921,71,Demand Variation,2011
12,762,False,6,airways,February,1048,8,Financial problems of company leading to interrupted supplies,2003
1,3380,True,5,rail,August,836,793,Raw material low,2001
5,447,False,1,airways,March,4453,126,Transport Delays,2010
2,402,False,2,airways,July,947,2,Poor inventory control,2014
4,859,False,13,water,November,243,56,Poor Lead time calculation,2011
1,1904,False,1,airways,September,701,150,Financial problems of company leading to interrupted supplies,2002
3,446,False,12,water,April,1307,6,Poor inventory control,2018
9,556,False,3,airways,November,1120,35,Huge backlog of orders,2006
2,1711,False,4,rail,October,2997,274,Huge backlog of orders,2014
1,1047,False,1,rail,March,430,66,Transport Delays,2008
9,1537,True,7,water,July,1039,165,faulty plant layout,2004
1,1786,True,5,rail,December,1561,536,material wastage due to over-feeding,2012
1,805,False,7,road,December,600,9,Supply Shortages and logistical uncertainties,2008
1,8930,False,4,airways,January,850,550,Poor inventory control,2009
9,826,False,6,rail,July,478,26,Demand Variation,2017
20,8983,True,2,water,January,5415,539,electricty stoppage,2001
0,942,False,4,airways,August,1056,48,faulty plant layout,2014
5,600,True,4,road,February,1866,47,Poor Planning,2011
4,149,False,2,airways,March,3451,127,Strike of workers,2015
8,2423,False,1,rail,July,1903,30,Poor Lead time calculation,2014
4,234,False,5,airways,February,1120,416,Huge backlog of orders,2009
1,8197,True,2,airways,December,1055,186,Poor Lead time calculation,2004
9,29,False,16,road,September,661,25,Transport Delays,2012
3,251,False,17,rail,June,606,412,Supply Shortages and logistical uncertainties,2001
3,2995,False,3,water,October,839,67,Financial problems of company leading to interrupted supplies,2015
3,465,True,15,airways,November,463,131,Poor Lead time calculation,2013
3,1529,True,16,road,August,560,278,Demand Variation,2003
4,966,False,2,airways,January,1725,340,material wastage due to over-feeding,2008
36,296,False,2,rail,October,836,27,faulty plant layout,2010
4,511,False,5,airways,January,1514,429,Supply Shortages and logistical uncertainties,2002
2,661,False,0,road,January,1934,71,material wastage due to over-feeding,2011
8,2412,False,4,water,January,1140,212,Strike of workers,2002
10,883,True,28,rail,August,1168,92,Financial problems of company leading to interrupted supplies,2011
3,1267,True,7,rail,May,1011,133,Poor Lead time calculation,2017
20,1136,True,0,road,June,4291,128,electricty stoppage,2012
16,1224,False,12,road,August,356,17,Demand Variation,2017
22,3999,False,1,rail,April,233,33,material wastage due to over-feeding,2015
4,457,True,1,water,October,612,464,electricty stoppage,2007
5,456,False,5,water,April,392,118,Strike of workers,2018
10,1181,False,6,airways,May,1444,137,Transport Delays,2003
1,106,False,11,water,July,616,369,Raw material low,2006
8,298,True,16,water,November,473,70,Poor Lead time calculation,2017
2,476,True,4,airways,May,3331,74,Supply Shortages and logistical uncertainties,2001
2,122,True,0,rail,March,1399,46,Poor Planning,2008
23,4178,False,0,rail,September,3650,163,Financial problems of company leading to interrupted supplies,2008
0,1420,False,0,road,June,1047,34,Poor Lead time calculation,2018
1,1234,True,5,airways,April,698,17,Demand Variation,2012
11,3297,False,7,water,October,145,120,Transport Delays,2010
5,1758,False,5,rail,July,1016,38,Poor Planning,2018
2,572,True,8,rail,April,1300,80,electricty stoppage,2007
20,672,True,4,rail,January,545,67,Poor Planning,2003
1,1228,True,2,water,March,1399,78,Demand Variation,2017
6,161,False,7,airways,October,3075,25,Supply Shortages and logistical uncertainties,2017
8,167,True,2,rail,May,539,192,excessive machine stoppage,2016
14,7712,True,4,road,July,516,220,Huge backlog of orders,2009
2,1706,True,2,rail,July,1864,66,Huge backlog of orders,2015
1,1238,False,33,road,September,9863,84,electricty stoppage,2014
8,2468,False,4,airways,September,1622,189,Poor inventory control,2002
5,4797,True,1,road,July,2402,48,Huge backlog of orders,2017
1,1088,False,10,road,March,1151,93,Poor inventory control,2012
4,635,True,4,road,September,3063,476,Financial problems of company leading to interrupted supplies,2008
6,615,True,8,rail,August,2229,76,Supply Shortages and logistical uncertainties,2001
3,3997,True,4,water,August,5394,34,Transport Delays,2015
6,100,False,5,road,April,209,80,Poor Planning,2008
4,1845,True,11,road,June,1299,74,Poor Planning,2004
3,1393,True,4,water,March,745,10,faulty plant layout,2016
1,53,True,0,road,January,810,101,Raw material low,2011
2,1386,False,33,rail,September,1108,50,Poor Lead time calculation,2002
2,880,True,5,rail,January,1082,461,Supply Shortages and logistical uncertainties,2006
4,3164,False,5,rail,June,5876,85,excessive machine stoppage,2002
5,1072,True,5,road,October,1010,121,Poor Planning,2012
4,1315,False,1,airways,December,4281,215,Raw material low,2016
4,313,False,7,rail,October,1373,470,Financial problems of company leading to interrupted supplies,2007
5,7,True,3,water,May,381,21,Transport Delays,2005
10,56,True,4,rail,June,545,150,Huge backlog of orders,2016
2,1824,True,7,road,November,817,18,Huge backlog of orders,2012
1,356,True,3,road,November,754,49,Supply Shortages and logistical uncertainties,2002
34,128,False,1,airways,July,1857,7,Strike of workers,2011
1,772,True,5,rail,April,2199,239,Huge backlog of orders,2001
3,1727,True,6,road,December,1186,47,excessive machine stoppage,2006
4,1176,False,5,water,December,8746,117,Demand Variation,2006
20,805,False,6,road,November,833,252,excessive machine stoppage,2007
3,910,False,2,water,August,586,564,Huge backlog of orders,2010
2,1272,False,6,road,August,1781,105,Factory shutdown,2005
2,2390,True,21,road,January,1815,4,Raw material low,2007
0,3117,False,8,airways,April,9318,8,faulty plant layout,2003
15,1838,True,9,airways,February,627,128,electricty stoppage,2004
31,817,True,5,water,March,666,138,Raw material low,2008
5,627,True,11,rail,August,756,134,Financial problems of company leading to interrupted supplies,2001
2,5277,False,0,water,October,780,644,Raw material low,2002
1,435,True,2,road,June,3811,192,Poor inventory control,2014
6,835,True,32,road,April,659,2,Transport Delays,2006
31,1774,False,2,airways,November,942,183,Poor Lead time calculation,2006
1,1999,False,13,airways,February,1036,17,Raw material low,2018
22,4986,True,2,water,September,630,41,Huge backlog of orders,2011
2,1829,True,41,rail,July,1701,142,material wastage due to over-feeding,2007
1,695,True,7,airways,June,930,181,electricty stoppage,2005
1,177,True,0,airways,May,274,225,material wastage due to over-feeding,2017
15,896,True,27,rail,May,742,181,Demand Variation,2013
3,1208,True,6,airways,November,365,83,Raw material low,2008
1,866,False,3,airways,May,2289,56,Raw material low,2014
4,779,True,6,rail,December,296,142,Transport Delays,2014
2,900,False,2,rail,November,359,143,Raw material low,2009
1,8987,True,1,road,March,1854,299,Factory shutdown,2001
2,11,True,5,airways,February,1416,83,Poor Planning,2016
9,54,True,1,water,July,125,77,material wastage due to over-feeding,2008
14,455,False,6,airways,September,913,42,Strike of workers,2017
16,1212,False,22,rail,November,1449,786,Raw material low,2001
7,488,True,1,rail,July,732,233,Poor Planning,2017
5,297,False,3,airways,March,765,79,faulty plant layout,2014
3,713,True,5,rail,June,273,31,Transport Delays,2017
0,155,False,6,airways,June,4937,166,Poor Planning,2003
4,474,False,5,airways,February,1032,98,Demand Variation,2002
36,1075,False,1,rail,September,315,73,excessive machine stoppage,2003
2,1103,False,6,airways,January,134,35,electricty stoppage,2014
0,82,True,0,water,November,1501,120,Transport Delays,2008
9,315,True,3,road,May,1724,69,faulty plant layout,2009
5,1253,True,12,road,March,944,935,Poor Lead time calculation,2013
0,1103,False,10,road,May,793,33,Strike of workers,2013
28,913,True,13,road,October,1003,78,Poor Planning,2002
3,3054,True,3,rail,March,1048,22,Demand Variation,2008
3,14,False,3,airways,September,1098,12,Poor Planning,2015
8,763,True,13,road,August,645,33,material wastage due to over-feeding,2005
7,1665,True,5,water,December,1472,261,faulty plant layout,2010
1,424,False,7,water,April,190,126,Poor Planning,2011
2,805,True,3,airways,April,769,137,Financial problems of company leading to interrupted supplies,2007
29,531,True,4,rail,June,4240,113,Supply Shortages and logistical uncertainties,2017
2,3052,True,13,rail,July,4275,42,Factory shutdown,2004
6,32,True,7,road,August,658,8,Factory shutdown,2005
7,793,False,2,road,October,1207,157,Supply Shortages and logistical uncertainties,2003
9,424,True,1,water,July,1871,111,Financial problems of company leading to interrupted supplies,2005
7,1582,True,9,road,January,1854,429,Raw material low,2014
4,2414,True,25,rail,February,2374,50,Financial problems of company leading to interrupted supplies,2013
16,911,True,2,road,February,453,159,faulty plant layout,2010
4,194,False,0,airways,February,1084,131,faulty plant layout,2011
50,4365,True,7,water,October,2323,47,Poor Planning,2012
7,1225,False,12,airways,June,1746,36,Transport Delays,2005
7,2302,True,5,airways,May,1022,128,Demand Variation,2005
3,1072,False,24,airways,November,1811,249,Poor Lead time calculation,2009
3,2340,False,19,road,March,1618,51,faulty plant layout,2007
0,1395,False,5,water,June,1532,201,Poor inventory control,2009
3,369,True,6,rail,January,147,247,electricty stoppage,2007
3,166,False,5,road,March,1125,211,Poor Lead time calculation,2006
48,9209,True,1,water,June,435,155,material wastage due to over-feeding,2006
47,7116,False,2,water,February,908,23,Supply Shortages and logistical uncertainties,2009
4,615,True,5,airways,September,3441,109,Factory shutdown,2015
7,3799,True,17,water,April,889,450,Poor Lead time calculation,2009
1,290,True,37,water,October,444,116,Poor Lead time calculation,2009
4,1070,False,3,airways,July,1819,855,Demand Variation,2018
5,1340,True,2,rail,September,538,77,Supply Shortages and logistical uncertainties,2004
6,86,False,1,water,September,2480,51,Huge backlog of orders,2011
15,462,True,16,water,October,1897,18,Strike of workers,2014
6,923,False,5,water,January,534,449,excessive machine stoppage,2013
5,1877,False,5,road,September,1875,180,Poor inventory control,2008
2,975,True,7,airways,July,814,35,Factory shutdown,2011
2,1101,True,6,road,February,2271,56,Supply Shortages and logistical uncertainties,2003
4,1080,True,25,road,November,419,80,Transport Delays,2018
8,462,True,0,rail,September,531,162,Supply Shortages and logistical uncertainties,2014
4,69,False,24,water,April,4167,249,Raw material low,2005
6,350,True,3,water,May,799,96,Poor inventory control,2008
5,2224,False,0,airways,December,516,21,material wastage due to over-feeding,2012
2,1345,False,8,rail,November,1407,19,material wastage due to over-feeding,2010
5,215,True,3,rail,December,2899,18,Poor inventory control,2007
6,375,False,4,rail,June,627,174,material wastage due to over-feeding,2018
2,37,True,4,airways,June,1471,96,Poor inventory control,2012
2,725,False,4,airways,July,1699,148,Raw material low,2010
7,336,True,21,road,September,1553,481,Supply Shortages and logistical uncertainties,2011
3,693,True,6,water,May,763,121,faulty plant layout,2002
3,949,True,8,airways,May,1223,9,electricty stoppage,2015
0,574,False,5,water,April,326,47,Poor Planning,2003
9,1093,True,4,road,December,611,53,Supply Shortages and logistical uncertainties,2017
3,3580,False,6,rail,July,677,342,Demand Variation,2001
4,924,True,2,road,August,1656,60,Poor inventory control,2013
4,644,False,4,road,February,1429,108,Transport Delays,2007
37,641,True,2,water,May,1035,623,Poor Lead time calculation,2009
6,51,False,2,road,February,350,76,Factory shutdown,2006
1,55,False,3,road,April,2252,7,Demand Variation,2009
